Name,Starts,Wins,Podiums,Top 10s,Top 20s,Avg Place,DNFs,Win%,Podium%,Top 10%,Top 20%,Total $,Avg $,$ as Winner,Strokes
Chris O'Cleary,6,2,6,6,6,2.00,0,33.33,100.00,100.00,100.00,"2,452",409,"1,380","2,075"
Marie Jackson 2,2,2,2,2,2,1.00,0,100.00,100.00,100.00,100.00,0,0,0,498
Hailey King,10,1,2,7,9,9.60,0,10.00,20.00,70.00,90.00,"19,015","1,902","7,000","2,678"
Eveliina Salonen,9,1,3,8,9,5.00,0,11.11,33.33,88.89,100.00,"16,650","1,850","1,870","2,501"
Hannah Leatherman,8,1,1,6,6,9.43,1,14.29,14.29,85.71,85.71,"3,944",563,"1,100","1,971"
Paige Shue,8,1,1,4,7,11.88,0,12.50,12.50,50.00,87.50,"7,472",934,"5,000","2,575"
Beth Tanner,6,1,4,6,6,3.17,0,16.67,66.67,100.00,100.00,"2,410",402,"1,060","3,009"
Amy Schiller,5,1,4,5,5,2.60,0,20.00,80.00,100.00,100.00,"2,038",408,588,"2,392"
Ramona Hale,4,1,2,4,4,3.00,0,25.00,50.00,100.00,100.00,631,158,500,"1,201"
Becky Powell,3,1,2,3,3,2.67,0,33.33,66.67,100.00,100.00,500,167,0,"1,594"
Tita Ugalde,2,1,1,1,1,1.00,1,100.00,100.00,100.00,100.00,"2,083","2,083","2,083",296
Tami Pellicane,1,1,1,1,1,1.00,0,100.00,100.00,100.00,100.00,"1,500","1,500","1,500",300
Holly Finley,19,0,1,7,13,15.11,0,0.00,5.26,36.84,68.42,"7,063",372,0,"5,651"
Lisa Fajkus,17,0,2,8,15,11.47,0,0.00,11.76,47.06,88.24,"15,778",928,0,"4,745"
Zoe Andyke,17,0,0,3,10,20.71,0,0.00,0.00,17.65,58.82,"1,998",118,0,"4,906"
Liz Lopez,16,0,2,13,16,7.44,0,0.00,12.50,81.25,100.00,"5,145",322,0,"5,204"
Jessica Weese,16,0,2,8,14,11.44,0,0.00,12.50,50.00,87.50,"10,369",648,0,"4,730"
Madison Walker,16,0,2,5,13,13.63,0,0.00,12.50,31.25,81.25,"6,735",421,0,"4,730"
Vanessa Van 16,16,0,1,5,11,15.00,1,0.00,6.67,33.33,73.33,"5,310",354,0,"3,909"
Courtney McCoy,15,0,3,11,13,9.07,0,0.00,20.00,73.33,86.67,"5,503",367,0,"5,244"
Anni Kreml,13,0,5,13,13,4.15,0,0.00,38.46,100.00,100.00,"7,059",543,0,"6,212"
Melody Waibel,13,0,2,7,13,9.77,0,0.00,15.38,53.85,100.00,"2,676",206,0,"4,558"
Naoko Inami,13,0,1,2,11,14.23,0,0.00,7.69,15.38,84.62,678,52,0,"5,752"
Lynne Warren,13,0,0,9,11,11.15,0,0.00,0.00,69.23,84.62,455,35,0,"5,273"
Natalie Holloköi,13,0,0,8,11,10.45,2,0.00,0.00,72.73,100.00,"1,723",157,0,"3,309"
Pam(ouflage) Reineke,13,0,0,7,10,13.54,0,0.00,0.00,53.85,76.92,"1,075",83,0,"4,097"
Katka Bodová,13,0,0,5,10,18.38,0,0.00,0.00,38.46,76.92,"2,858",220,0,"3,764"
Sandy Gast,13,0,0,4,10,16.54,0,0.00,0.00,30.77,76.92,0,0,0,"4,161"
Kona Panis,12,0,0,4,4,24.17,0,0.00,0.00,33.33,33.33,"5,142",429,0,"3,221"
Ellen Widboom,12,0,0,1,5,24.67,0,0.00,0.00,8.33,41.67,"2,833",236,0,"3,348"
Liz Carr-Sypien,11,0,3,8,11,8.55,0,0.00,27.27,72.73,100.00,"4,478",407,0,"3,886"
Jennifer Allen,11,0,2,5,9,10.40,1,0.00,20.00,50.00,90.00,"5,551",555,0,"3,234"
Melodie Bailey,11,0,0,1,7,21.64,0,0.00,0.00,9.09,63.64,"1,115",101,0,"3,598"
Susan Stephens,10,0,2,8,10,7.80,0,0.00,20.00,80.00,100.00,"1,840",184,0,"4,214"
Nadine Larkin,10,0,2,8,10,6.70,0,0.00,20.00,80.00,100.00,"2,633",263,0,"4,378"
Rebecca Cox,10,0,1,5,5,21.30,0,0.00,10.00,50.00,50.00,"5,080",508,0,"2,747"
Christine Hellstern,10,0,1,7,9,10.20,0,0.00,10.00,70.00,90.00,575,58,0,"3,555"
